ImageNumber,ObjectNumber,FileName_Spindle,PathName_Spindle,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,267,2324.7453183520597,1137.3895131086142,65.95628230192047,5.504860911239965,-68.43876200816031,2324.7453183520597,1137.3895131086142,0,1
1,2,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,244,1315.7295081967213,1252.02868852459,55.920957811216006,6.080635767145504,-25.593915742820574,1315.7295081967213,1252.02868852459,0,2
1,3,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,123,1669.2113821138212,1295.0487804878048,28.289258659094326,5.703142044879216,-2.4129536812603605,1669.2113821138212,1295.0487804878048,0,3
1,4,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,276,1989.8876811594203,1387.8079710144928,67.93108022701504,5.848049003304875,-31.74752000599029,1989.8876811594203,1387.8079710144928,0,4
1,5,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,134,1552.6044776119404,1421.044776119403,30.37984172719466,6.02670520612364,44.62307583346462,1552.6044776119404,1421.044776119403,0,5
1,6,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,219,2271.068493150685,1441.269406392694,50.28789961403632,6.01447583531545,-22.448316272276678,2271.068493150685,1441.269406392694,0,6
1,7,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,311,1294.8681672025723,1441.59807073955,83.47277685224417,5.7093501769970105,-53.56375546638914,1294.8681672025723,1441.59807073955,0,7
1,8,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,311,1592.9710610932475,1503.3729903536978,72.23846509007782,6.411017673220407,-70.0106961190508,1592.9710610932475,1503.3729903536978,0,8
1,9,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,258,1608.7015503875969,1698.860465116279,60.32439418283444,6.10805299380724,-51.7322711218041,1608.7015503875969,1698.860465116279,0,9
1,10,AurA_June7_A_3_frontface_z100c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_3,391,1484.071611253197,1693.1713554987211,89.97467891613874,6.85137659615836,86.36546664066442,1484.071611253197,1693.1713554987211,0,10
