ImageNumber,ObjectNumber,FileName_Spindle,PathName_Spindle,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,AurA_June7_A_2_frontface_z340c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,294,2026.404761904762,1703.408163265306,66.12765166337125,6.3307271931249645,-30.973415580549094,2026.404761904762,1703.408163265306,0,1
1,2,AurA_June7_A_2_frontface_z340c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,358,2251.68156424581,1770.0474860335196,81.84459010925572,7.99476714136699,-18.99668203878938,2251.68156424581,1770.0474860335196,0,2
1,3,AurA_June7_A_2_frontface_z340c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,363,1923.190082644628,1885.198347107438,83.9183311236535,5.71781964173878,-0.7623346440506866,1923.190082644628,1885.198347107438,0,3
1,4,AurA_June7_A_2_frontface_z340c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,248,2086.201612903226,2188.0080645161293,69.99167195209348,5.1051777305615795,-46.89483141615221,2086.201612903226,2188.0080645161293,0,4
1,5,AurA_June7_A_2_frontface_z340c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,353,2017.2747875354107,2342.359773371105,80.04479074455357,6.049835717611418,2.282045152056468,2017.2747875354107,2342.359773371105,0,5
1,6,AurA_June7_A_2_frontface_z340c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,198,2206.0,2381.5,45.809883808469266,5.570484990582331,0.0,2206.0,2381.5,0,6
1,7,AurA_June7_A_2_frontface_z340c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,244,2746.0819672131147,2706.9508196721313,56.47258046596659,6.109370595716034,85.51274087085515,2746.0819672131147,2706.9508196721313,0,7
2,1,AurA_June7_A_2_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,351,2392.7236467236467,1608.5470085470085,97.04618280804539,5.153531330624285,-49.25660086399354,2392.7236467236467,1608.5470085470085,0,1
2,2,AurA_June7_A_2_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,261,1971.1340996168583,1841.2911877394636,60.558595682174285,6.207819674234662,-76.14338459304602,1971.1340996168583,1841.2911877394636,0,2
2,3,AurA_June7_A_2_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,248,1970.3064516129032,1893.2701612903227,63.161176703062516,5.752576488550542,-35.360657619611395,1970.3064516129032,1893.2701612903227,0,3
2,4,AurA_June7_A_2_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,331,1842.679758308157,2064.6948640483383,75.91266035687177,5.930992279850451,-19.862526691176257,1842.679758308157,2064.6948640483383,0,4
2,5,AurA_June7_A_2_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,370,2100.9756756756756,2068.3675675675677,86.37128570419377,6.169901312879241,75.06923361043329,2100.9756756756756,2068.3675675675677,0,5
2,6,AurA_June7_A_2_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,286,1955.6538461538462,2175.0104895104896,66.19502380828757,5.999350837544799,21.412272483667717,1955.6538461538462,2175.0104895104896,0,6
2,7,AurA_June7_A_2_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,212,2035.3537735849056,2622.8584905660377,47.858129859414234,6.242966350906714,-63.90102145661025,2035.3537735849056,2622.8584905660377,0,7
3,1,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,251,2195.6733067729083,1376.8087649402391,58.44254372091653,6.085136322782279,69.31661054897084,2195.6733067729083,1376.8087649402391,0,1
3,2,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,188,2135.5,1403.4468085106382,43.53919078715494,5.652713570946131,-87.70819166307753,2135.5,1403.4468085106382,0,2
3,3,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,389,1771.3136246786632,1419.6221079691518,91.27527553389055,5.931825240779812,71.51664685515615,1771.3136246786632,1419.6221079691518,0,3
3,4,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,307,2285.596091205212,1432.6384364820847,70.99621231643374,5.697769154946813,-88.74694443524184,2285.596091205212,1432.6384364820847,0,4
3,5,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,242,1992.0289256198348,1571.090909090909,55.76931071460252,6.239200281108438,26.192227380745393,1992.0289256198348,1571.090909090909,0,5
3,6,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,320,2686.040625,1585.74375,75.19155481071478,6.074788382921726,72.65269333917291,2686.040625,1585.74375,0,6
3,7,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,388,2710.896907216495,1717.6520618556701,102.19351353924111,5.789022882563794,-49.29113590375192,2710.896907216495,1717.6520618556701,0,7
3,8,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,279,2088.7025089605736,1695.3763440860216,64.10896178386238,6.097804450879725,-80.05767773666943,2088.7025089605736,1695.3763440860216,0,8
3,9,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,313,2388.0,1855.667731629393,72.3535879740392,5.706074228561185,88.77516033920669,2388.0,1855.667731629393,0,9
3,10,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,341,1881.2052785923754,2063.319648093842,87.16902609825205,5.657083608179819,31.309432119124168,1881.2052785923754,2063.319648093842,0,10
3,11,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,222,2268.873873873874,2193.337837837838,52.71639522082928,6.022488606949137,67.80548765016633,2268.873873873874,2193.337837837838,0,11
3,12,AurA_June7_A_2_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,272,2033.7095588235295,2674.6323529411766,70.39367946316302,5.644875859695224,48.659586304011945,2033.7095588235295,2674.6323529411766,0,12
4,1,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,174,2072.925287356322,1258.8505747126437,40.89336226966235,6.020953511986633,23.176408173425035,2072.925287356322,1258.8505747126437,0,1
4,2,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,275,2255.7272727272725,1274.7018181818182,70.25175468447617,5.597248596529741,-54.25297125429145,2255.7272727272725,1274.7018181818182,0,2
4,3,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,324,2629.367283950617,1312.1327160493827,74.93867368481453,6.404238347987315,-23.535531509045956,2629.367283950617,1312.1327160493827,0,3
4,4,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,408,1819.313725490196,1322.7475490196077,114.15983447947336,5.5125936835766485,-42.65553167064016,1819.313725490196,1322.7475490196077,0,4
4,5,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,233,2301.9141630901286,1321.4763948497855,61.11028426412849,5.796136256828273,-42.549796149949685,2301.9141630901286,1321.4763948497855,0,5
4,6,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,369,2110.8346883468835,1351.2926829268292,85.39847417174538,6.554550024104693,9.215288058189435,2110.8346883468835,1351.2926829268292,0,6
4,7,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,186,1545.0376344086021,1378.241935483871,48.40648405168076,5.4024484314652605,-51.13697520827669,1545.0376344086021,1378.241935483871,0,7
4,8,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,354,1972.3305084745762,1502.6553672316384,81.26051323599158,6.001559812403566,-9.778674000023189,1972.3305084745762,1502.6553672316384,0,8
4,9,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,284,1896.5422535211267,1494.8732394366198,65.27111075653585,6.177135774830801,-80.41433282453649,1896.5422535211267,1494.8732394366198,0,9
4,10,AurA_June7_A_2_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_2,367,2215.1307901907358,1571.9346049046321,84.10528331100078,6.240202250485008,85.42807559371103,2215.1307901907358,1571.9346049046321,0,10
